location,date,total_cases,total_deaths
Brazil,2021-04-19,13832455.0,368749.0
Brazil,2021-04-20,13832455.0,368749.0
Brazil,2021-04-21,13832455.0,368749.0
Brazil,2021-04-22,13832455.0,368749.0
Brazil,2021-04-23,13832455.0,368749.0
Brazil,2021-04-24,13832455.0,368749.0
Brazil,2021-04-25,14237078.0,386416.0
Brazil,2021-04-26,14237078.0,386416.0
Brazil,2021-04-27,14237078.0,386416.0
Brazil,2021-04-28,14237078.0,386416.0
Brazil,2021-04-29,14237078.0,386416.0
Brazil,2021-04-30,14237078.0,386416.0
Brazil,2021-05-01,14237078.0,386416.0
Brazil,2021-05-02,14659011.0,403781.0
Brazil,2021-05-03,14659011.0,403781.0
Brazil,2021-05-04,14659011.0,403781.0
Brazil,2021-05-05,14659011.0,403781.0
Brazil,2021-05-06,14659011.0,403781.0
Brazil,2021-05-07,14659011.0,403781.0
Brazil,2021-05-08,14659011.0,403781.0
Brazil,2021-05-09,15082449.0,419114.0
Brazil,2021-05-10,15082449.0,419114.0
Brazil,2021-05-11,15082449.0,419114.0
Brazil,2021-05-12,15082449.0,419114.0
Brazil,2021-05-13,15082449.0,419114.0
Brazil,2021-05-14,15082449.0,419114.0
Brazil,2021-05-15,15082449.0,419114.0
Brazil,2021-05-16,15519525.0,432628.0
Brazil,2021-05-17,15519525.0,432628.0
Brazil,2021-05-18,15519525.0,432628.0
Brazil,2021-05-19,15519525.0,432628.0
Brazil,2021-05-20,15519525.0,432628.0
Brazil,2021-05-21,15519525.0,432628.0
Brazil,2021-05-22,15519525.0,432628.0
Brazil,2021-05-23,15970949.0,446309.0
Brazil,2021-05-24,15970949.0,446309.0
Brazil,2021-05-25,15970949.0,446309.0
Brazil,2021-05-26,15970949.0,446309.0
Brazil,2021-05-27,15970949.0,446309.0
Brazil,2021-05-28,15970949.0,446309.0
Brazil,2021-05-29,15970949.0,446309.0
Brazil,2021-05-30,16391930.0,459045.0
Brazil,2021-05-31,16391930.0,459045.0
Brazil,2021-06-01,16391930.0,459045.0
Brazil,2021-06-02,16391930.0,459045.0
Brazil,2021-06-03,16391930.0,459045.0
Brazil,2021-06-04,16391930.0,459045.0
Brazil,2021-06-05,16391930.0,459045.0
Brazil,2021-06-06,16841408.0,470842.0
Brazil,2021-06-07,16841408.0,470842.0
Brazil,2021-06-08,16841408.0,470842.0
Brazil,2021-06-09,16841408.0,470842.0
Brazil,2021-06-10,16841408.0,470842.0
Brazil,2021-06-11,16841408.0,470842.0
Brazil,2021-06-12,16841408.0,470842.0
Brazil,2021-06-13,17296118.0,484235.0
Brazil,2021-06-14,17296118.0,484235.0
Brazil,2021-06-15,17296118.0,484235.0
Brazil,2021-06-16,17296118.0,484235.0
Brazil,2021-06-17,17296118.0,484235.0
Brazil,2021-06-18,17296118.0,484235.0
Brazil,2021-06-19,17296118.0,484235.0
Brazil,2021-06-20,17801462.0,498499.0
Brazil,2021-06-21,17801462.0,498499.0
Brazil,2021-06-22,17801462.0,498499.0
Brazil,2021-06-23,17801462.0,498499.0
Brazil,2021-06-24,17801462.0,498499.0
Brazil,2021-06-25,17801462.0,498499.0
Brazil,2021-06-26,17801462.0,498499.0
Brazil,2021-06-27,18322760.0,511142.0
Brazil,2021-06-28,18322760.0,511142.0
Brazil,2021-06-29,18322760.0,511142.0
Brazil,2021-06-30,18322760.0,511142.0
Brazil,2021-07-01,18322760.0,511142.0
Brazil,2021-07-02,18322760.0,511142.0
Brazil,2021-07-03,18322760.0,511142.0
Brazil,2021-07-04,18687469.0,521952.0
Brazil,2021-07-05,18687469.0,521952.0
Brazil,2021-07-06,18687469.0,521952.0
Brazil,2021-07-07,18687469.0,521952.0
Brazil,2021-07-08,18687469.0,521952.0
Brazil,2021-07-09,18687469.0,521952.0
Brazil,2021-07-10,18687469.0,521952.0
Brazil,2021-07-11,19020499.0,531688.0
Brazil,2021-07-12,19020499.0,531688.0
Brazil,2021-07-13,19020499.0,531688.0
Brazil,2021-07-14,19020499.0,531688.0
Brazil,2021-07-15,19020499.0,531688.0
Brazil,2021-07-16,19020499.0,531688.0
Brazil,2021-07-17,19020499.0,531688.0
Brazil,2021-07-18,19308109.0,540398.0
Brazil,2021-07-19,19308109.0,540398.0
Brazil,2021-07-20,19308109.0,540398.0
Brazil,2021-07-21,19308109.0,540398.0
Brazil,2021-07-22,19308109.0,540398.0
Brazil,2021-07-23,19308109.0,540398.0
Brazil,2021-07-24,19308109.0,540398.0
Brazil,2021-07-25,19632443.0,548340.0
Brazil,2021-07-26,19632443.0,548340.0
Brazil,2021-07-27,19632443.0,548340.0
Brazil,2021-07-28,19632443.0,548340.0
Brazil,2021-07-29,19632443.0,548340.0
Brazil,2021-07-30,19632443.0,548340.0
Brazil,2021-07-31,19632443.0,548340.0
Brazil,2021-08-01,19880273.0,555460.0
Brazil,2021-08-02,19880273.0,555460.0
Brazil,2021-08-03,19880273.0,555460.0
Brazil,2021-08-04,19880273.0,555460.0
Brazil,2021-08-05,19880273.0,555460.0
Brazil,2021-08-06,19880273.0,555460.0
Brazil,2021-08-07,19880273.0,555460.0
Brazil,2021-08-08,20108746.0,561762.0
Brazil,2021-08-09,20108746.0,561762.0
Brazil,2021-08-10,20108746.0,561762.0
Brazil,2021-08-11,20108746.0,561762.0
Brazil,2021-08-12,20108746.0,561762.0
Brazil,2021-08-13,20108746.0,561762.0
Brazil,2021-08-14,20108746.0,561762.0
Brazil,2021-08-15,20319000.0,567862.0
Brazil,2021-08-16,20319000.0,567862.0
Brazil,2021-08-17,20319000.0,567862.0
Brazil,2021-08-18,20319000.0,567862.0
Brazil,2021-08-19,20319000.0,567862.0
Brazil,2021-08-20,20319000.0,567862.0
Brazil,2021-08-21,20319000.0,567862.0
Brazil,2021-08-22,20528099.0,573511.0
Brazil,2021-08-23,20528099.0,573511.0
Brazil,2021-08-24,20528099.0,573511.0
Brazil,2021-08-25,20528099.0,573511.0
Brazil,2021-08-26,20528099.0,573511.0
Brazil,2021-08-27,20528099.0,573511.0
Brazil,2021-08-28,20528099.0,573511.0
Brazil,2021-08-29,20703906.0,578326.0
